"name","responsibility","requirement","currency","from","to"
"Специалист по продаже кухонь и шкафов-купе","Консультирование клиентов. Активные продажи кухонной мебели и шкафов-купе. Составление дизайн-проектов . Оформление и расчёт заказов.","Пунктуальность. Вежливое общение и знание дизайнерских программ.","RUR","25000","50000"
"Специалист технической поддержки","Конструктора сайтов и посадочных страниц. Системы проведения обучения онлайн. Вебинарной комнаты. Системы рассылок. CRM. Аналитики. Автоворонок. Консультирование по функционалу и...","Опыт работы от 1 года. Образование техническое как плюс. Грамотный русский язык. Навыки деловой переписки. Наличие быстрого компьютера и стабильного...","RUR","28000","55000"
"Специалист по работе с коммерческой недвижимостью, бизнесом и земельным участкам","Аналитическая работа с объектами продажи по их продвижению. -Проведение сделок по купле-продаже(аренде) коммерческой недвижимости и бизнеса от А...","Опыт ведения переговоров с клиентами. - Опыт руководства коллективом (приветствуется). - Опыт самостоятельной работы в бизнесе (приветствуется). - Коммуникабельность. - Настойчивость, амбициозность. - ","RUR","40000","null"
"Прораб (производитель работ)","Осуществляет руководство производственно-хозяйственной деятельностью подразделения. использование. Обеспечивает выполнение производственных заданий по вводу объектов в эксплуатацию в установленные сроки и...","Исполнительность, аккуратность, дисциплина. Образование Высшее, специальное строительное. Квалификационные Инженер (работник) строительной специальности. Опыт работы От 2 лет (с аналогичными обязанностями).","RUR","50000","null"
"Охранник","Рестораны. Магазины (элитная парфюмерия и косметика, одежда, продукты). Гипермаркеты бытовой техники и электроники. Офисы. Складские комплексы. Производственные компании и др. ","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно. Аккуратность, ответственность, желание работать.","RUR","50000","null"
"Специалист торгового зала/Продавец-кассир","Обслуживание клиентов на кассе. Пополнение товарного ассортимента в торговом зале. Помощь клиентам по различным вопросам. Поддержание чистоты и порядка в...","Наши сотрудники – целеустремленные люди‚ готовые получать новый опыт и расширять свои возможности. Работающие в команде. Энергичные. Приветливые. Открытые к новым...","RUR","40000","null"
"Сборщик-упаковщик","Упаковка, фасовка и ручная сборка готовой продукции, товаров повседневного спроса. - Осуществление контроля на наличие бракованных товаров. - Выполнение простейших операций (обучение...","Организованность, внимательность. - Исполнительность, не конфликтность.","RUR","50000","55000"
"Дизайнер-консультант","Консультирование клиентов по продукции Elfa и встраиваемой мебели. Выявление потребностей клиента, проведение презентации продукции. Составление 3D проектов в программе...","Опыт работы в продажах мебели / шкафов-купе как преимущество. Умение и желание общаться, презентовать продукцию компании и консультировать клиентов. ","RUR","25000","60000"
"Сетевой инженер","Поддержка сети передачи данных. Поддержка компьютерной сети компании.","Опыт работы сетевым инженером (администратором). Практические знания сетевых технологий. Практический опыт конфигурирования сетевого оборудования. Сертификат Sisco (желательно).","RUR","50000","100000"
"Водитель","Наша команда организует перевозку грузов любой сложности по всей России. Перевозка продуктов питания или почты на грузовом автомобиле категории «В...","Более 10 лет на рынке транспортной логистики. Водительские права категории «В», «С» или «Е». Опыт работы водителем не менее 2...","RUR","40000","130000"
"Заведующий складом","Организация и контроль работы склада. Организация и оперативное управление всеми логистическими процессами на складе: прием товара, распределение, хранение, сборка и...","Опыт организации эффективной работы на складе. Опыт управления персоналом склада. Опыт работы с товаросопроводительной документацией (в т.ч. ","RUR","null","50000"
"Торговый представитель","Активный поиск и привлечение клиентов. Отгрузка товара из Москвы. Полное сопровождение сделок (выявление потребностей клиента, помощь в формировании заказа клиенту...","Навыки проведения переговоров и выявления ЛПР. Наличие аналогичного опыта работы от 1 года. Умение проводить презентации и обучение по продукту. ","RUR","60000","null"
"Слесарь механосборочных работ","выполнять шабровку поверхности плоских и цилиндрических поверхностей (металл и баббит).","иметь навыки центровки диафрагм, подшипников и корпусов. Требования к квалификации: - Умение читать чертежи. - Опыт работы в машиностроении, судостроении. - ","RUR","70000","null"
"Менеджер по работе с дилерами (светопрозрачные конструкции)","Активная работа с существующей дилерской сетью (Окна ПВХ, алюминий). - Развитие клиентской базы, привлечение новых дилеров. - Ведение клиентов по продукту, проведение...","Опыт работы в окнах ПВХ - как преимущество. - Опыт личных продаж обязателен. - Уверенный пользователь ПК. - Грамотная речь, ориентация на клиента, умение...","RUR","30000","50000"
"Менеджер по продажам / технический консультант","Активный поиск и привлечение клиентов. Поддержание и развитие деловых отношений с существующими клиентами, выявление их потенциальных потребностей. Проведение презентаций, переговоров. ","Образование: высшее техническое в области металлообработки. Стаж работы и профессиональный опыт: опыт работы инженером-технологом, опыт работы в продажах от...","RUR","50000","null"
"Заместитель директора магазина обуви Rendez-Vous (ТРЦ Рио)","Обучение, наставничество персонала. Обеспечение высокого уровня сервиса. Максимизация продаж. Повышение эффективности работы сотрудников. Соблюдение всех правил и стандартов Компании. ","Желание повышать свой профессионализм и обучать сотрудников. Владение управленческими навыками: планирование, организация, мотивация, контроль. Навыки эффективной коммуникации. Клиентоориентированность, ответственность, честность...","RUR","60000","150000"
"Менеджер регионального отдела продаж","Продажа сантехники по регионам РФ. Активный поиск и привлечение новых клиентов. Ведение существующей клиентской базы. Проведение встреч с клиентами. ","Образование высшее (средне-специальное). Опыт работы менеджером в оптовых продажах приветствуется. Коммуникабельность, грамотная речь, целеустремленность, желание работать и зарабатывать. ","RUR","30000","90000"
"Онлайн-эксперт по бухгалтерскому учету и налогообложению","Консультации клиентов в режиме онлайн-чата по бухгалтерскому учету и налогообложению.","Высшее или среднее специальное по профилю бухучет, анализ, аудит. Знание российских стандартов бухгалтерского учета и налогообложения. Умение анализировать изменения законодательства. ","RUR","42000","57000"
"Торговый представитель","Выезд к клиенту по готовой заявке (без поиска клиентов). Проведение диагностики, выявление проблем. Составление заявки на сервисное обслуживание. ","Права категории В. Наличие автомобиля. Опыт работы значения не имеет. Умение лаконично излагать свое мнение, пунктуальность. Желание зарабатывать и развиваться.","RUR","40000","null"
"Менеджер по качеству (руководитель)","Отвечает за удовлетворенность клиентов и потребителей качеством, посредством обеспечения соответствия качества продуктов, процессов и поведения заданным стандартам. Обеспечивает соответствие качества...","Опыт работы в международной производственной компании. Желательно знание IATF 16949. Опыт работы в пр-ве автопром/ резины/пластмассы будет являться...","RUR","null","120000"
"Токарь-универсал","Работа на станке 16к20.","Разряд 4-5. Опыт более 2-х лет. Квалификационные документы.","RUR","65000","null"
"Охранник","Магазины. Автосалоны. Складские комплексы. Строящиеся объекты. Бизнес-центры. Жилые комплексы. Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. ","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","50000","null"
