name,responsibility,salary_from,salary_to,currency,url,area_name
Бармен                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Приготовление и оформление напитков, коктейлей. Большой ассортимент, разнообразие вкусов и стилей. Оформление барной стойки и поддержание ее в чистоте.                                                                                                                                                                                                                                                                                                                                                                         ",30000,0,RUR                                                             ,https://hh.ru/vacancy/28185737                                                                                                  ,Россия                                                          
Backend-разработчик                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Разработка бекенда сайтов на фреймворк или cms по аргументированому выбору. Разработка REST сервисов. Поддержка текущих проектов на ModX Revolution.                                                                                                                                                                                                                                                                                                                                                                            ,20000,0,RUR                                                             ,https://hh.ru/vacancy/28246693                                                                                                  ,Россия                                                          
Менеджер интернет-магазина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Обработка и исполнение заказов, поступающих через сайт интернет-магазина и по другим каналам связи. Полный цикл работы с заказами: приём...                                                                                                                                                                                                                                                                                                                                                                                     ",20000,30000,RUR                                                             ,https://hh.ru/vacancy/28452633                                                                                                  ,Россия                                                          
Швея-портной                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Шить и ремонтировать одежду. Массовка.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,15000,26000,RUR                                                             ,https://hh.ru/vacancy/28452625                                                                                                  ,Россия                                                          
Менеджер интернет-магазина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Общение с клиентами по телефону, электронной почте, в онлайн-чате, в социальных сетях. Оформление заказов. Упаковка заказов. Отправка заказов через...                                                                                                                                                                                                                                                                                                                                                                          ",15000,22000,RUR                                                             ,https://hh.ru/vacancy/28452621                                                                                                  ,Россия                                                          
Маркетолог / менеджер по развитию бизнеса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,разработка и проведение мероприятий по продвижению салона (онлайн и оффлайн). - разработка рекламных материалов. - работа с CRM. - участие в организационных процессах...                                                                                                                                                                                                                                                                                                                                                       ,20000,0,RUR                                                             ,https://hh.ru/vacancy/28452619                                                                                                  ,Россия                                                          
Мерчендайзер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"выкладка продукции согласно планограмме. - контроль сроков годности, ротация товара. - размещение промо товара. - заполнение электронной отчётности.                                                                                                                                                                                                                                                                                                                                                                            ",21000,0,RUR                                                             ,https://career.ru/vacancy/28452610                                                                                              ,Россия                                                          
Помощник дизайнера                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Организация дизайнерской, технической, сметной проработки поступающих запросов (объемные буквы различных форматов, фризы, лайтбоксы, световые короба, акрилайты, фреймлайты, крышные установки, интерьерные...                                                                                                                                                                                                                                                                                                                  ",25000,0,RUR                                                             ,https://hh.ru/vacancy/28039407                                                                                                  ,Россия                                                          
Бухгалтер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Выставления счетов, актов выполненных работ, наряд-заказов заказчику. Учет расчетов с поставщиками и заказчиками. Подготовка платежных документов. Контроль и обработка...                                                                                                                                                                                                                                                                                                                                                      ",20000,25000,RUR                                                             ,https://hh.ru/vacancy/28452550                                                                                                  ,Россия                                                          
Специалист-эксперт                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Первичная экспертиза. Прием, обработка, выдача документов. Подготовка писем, уведомлений. Работа с архивом, делопроизводство.                                                                                                                                                                                                                                                                                                                                                                                                   ",15000,20000,RUR                                                             ,https://hh.ru/vacancy/28474871                                                                                                  ,Россия                                                          
Администратор Спортивного Клуба                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Встречать гостей Клуба. * Вести запись на тренировки, в массажный Кабинет, барбершоп. * Приготовление спортивного питания (Коктейли). * Вести клиентскую базу. *                                                                                                                                                                                                                                                                                                                                                                ",20000,25000,RUR                                                             ,https://hh.ru/vacancy/28474872                                                                                                  ,Россия                                                          
Менеджер интернет-магазина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Обработка заказов. Отправка реестров для курьерской службы. Вызов курьера. Создание заказов в сдек. Ведение таблиц. Ведение еженедельной статистики по заказам.                                                                                                                                                                                                                                                                                                                                                                 ,15000,0,RUR                                                             ,https://hh.ru/vacancy/28474865                                                                                                  ,Россия                                                          
